Key;title;DOI;Cinese_title;checks;;;;
L3EZMFpY;Propagations of Rayleigh and Love waves in ZnO films/glass substrates analyzed by three-dimensional finite element method;https://doi.org/10.1088/1674-1056/26/8/087703;;;;;;
9JdPm99q;A case report : primary mucosa-associated lymphoid tissue lymphoma of the rectum;https://doi.org/10.11641/pde.72.2_112;;;;;Doi non esistenti per risorsa;168
UHw4KqA7;Total pancreatectomy – A single center experience;https://doi.org/10.1016/j.pan.2016.06.379;;check doi;;;;
yAmdOBEK;Survey on water sources in Yungang Grottoes and some results;None;titolo solo cinese;;;;cinese titles;33
9yNTYW48;Research on Quick Reverse Injecting Time Sequence of Submunition;https://doi.org/10.3969/j.issn.1673-9728.2006.01.026;titolo solo cinese;;;;;
NqQl6MZm;Research on substances and energy metabolism mechanisms of Chinese Medicine treating pediatric cold based on methods of network pharmacology;https://doi.org/10.1016/j.aimed.2019.03.211;;;;;;
18XV1t9i;Survival benefit of gastrectomy for gastric cancer with peritoneal carcinomatosis: a propensity score-matched analysis.;https://doi.org/10.1002/cam4.877;;;;;;
9pGxy4jR;Influence of convex structure on drilling riser construction;https://doi.org/10.3969/j.issn.1000-7393.2009.01.010;titolo solo cinese;;;;;
gsAJ5AZj;Feed habituation alleviates decreased feed intake after feed replacement in broilers.;https://doi.org/10.3382/ps/pex358;;;;;;
JAGaKONV;Changes of hippocampal BDNF and TrkB expression during AMPA receptors mediated ketamine-induced antidepressant effect in rats;None;titolo solo cinese;;;;;
AhTjmLCd;Synthesis of Diarylmethanes through Palladium-Catalyzed Coupling of Benzylic Phosphates with Arylsilanes;https://doi.org/10.1055/s-0034-1379366;;;;;;
AT47s0gH;Identification of HIV-1 Epitopes that Induce the Synthesis of a R5 HIV-1 Suppression Factor by Human CD4;https://doi.org/10.1080/17402520500391557;;;;;;
AkeQgEiU;Rodent investigation in Wulan county of Qinghai province: the possibility of invading of Rattus norvegicus into Xizang along the Qinghai-Xizang Railway;https://doi.org/10.3969/j.issn.1003-4692.2007.01.001;titolo solo cinese;;;;;
